RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K011268,No Trade Name,Sari Sari Store,purok maliwanag,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.143845,6.076281667,1.4,"501 - 2,000",No,34
Extreme Reach,7K016839,NASS & LYN STORE,Sari Sari Store,Filipino-American friendship road,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.14332,6.067091667,1.6,"501 - 2,000",No,184
Extreme Reach,7K016755,No Trade Name,Sari Sari Store,Purok Stella Maris brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13678,6.068276667,1.5,"501 - 2,000",No,187
Extreme Reach,7K011498,No Trade Name,Sari Sari Store,purok san miguel,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.145385,6.078158333,1.8,101 - 500,No,190
Extreme Reach,7K016753,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1427733,6.08628,1.5,101 - 500,No,192
Extreme Reach,7K016840,GANDAM STORE,Sari Sari Store,Filipino-American friendship road,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.143325,6.067381667,1.4,"501 - 2,000",No,184
Extreme Reach,7K013594,3 BROTHERS SARI SARI STORE,Sari Sari Store,Purok placida,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1252133,6.085066667,1.8,"501 - 2,000",No,30
Extreme Reach,7K013674,REYMAR & REYXEMAR Store,Sari Sari Store,Purok placida,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.125505,6.085051667,1.7,"501 - 2,000",No,30
Extreme Reach,7K013604,No Trade Name,Sari Sari Store,Reformville yellow fin rd,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1279133,6.081835,1.6,101 - 500,No,47
Extreme Reach,7K013689,No Trade Name,Sari Sari Store,Reformville Yellow fin rd,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1279617,6.087841667,1.7,"501 - 2,000",No,30
Extreme Reach,7K013687,ANUB STORE,Sari Sari Store,Reformville Yellow fin rd,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.12791,6.084798333,1.2,"501 - 2,000",No,47
Extreme Reach,7K013609,No Trade Name,Sari Sari Store,Reformville yellow fin rd,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.127935,6.085941667,1.4,"501 - 2,000",No,30
Extreme Reach,7K013603,No Trade Name,Sari Sari Store,Purok placida,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1260033,6.08224,1.6,"501 - 2,000",No,47
