DistributorID,AgentID,CustNo,RouteDate,StopNo,Name,WD,SalesManTerritory,latitude,longitude,dayno,distancetonextstore
11814,SK-DP4,7K011852,2025-11-10,47,7K011852,1,SK-DP4,6.07920667,125.1454117,6,0.007
11814,SK-DP4,7K011849,2025-11-10,48,7K011849,1,SK-DP4,6.07926333,125.1453833,6,0.039
11814,SK-DP4,7K011853,2025-11-10,49,7K011853,1,SK-DP4,6.07930667,125.1450367,6,0.009
11814,SK-DP4,7K011877,2025-11-10,50,7K011877,1,SK-DP4,6.07924167,125.144995,6,0.095
11814,SK-DP4,7K011855,2025-11-10,51,7K011855,1,SK-DP4,6.07981,125.144355,6,0.034
11814,SK-DP4,7K011885,2025-11-10,52,7K011885,1,SK-DP4,6.08008333,125.14421,6,0.01
11814,SK-DP4,7K011856,2025-11-10,53,7K011856,1,SK-DP4,6.08013,125.1441333,6,0.055
11814,SK-DP4,7K011857,2025-11-10,54,7K011857,1,SK-DP4,6.07981667,125.14375,6,0.045
11814,SK-DP4,7K011891,2025-11-10,55,7K011891,1,SK-DP4,6.079445,125.14359,6,0.03
11814,SK-DP4,7K011848,2025-11-10,56,7K011848,1,SK-DP4,6.07934167,125.14384,6,0.007
11814,SK-DP4,7K011884,2025-11-10,57,7K011884,1,SK-DP4,6.07932833,125.1439017,6,0.014
11814,SK-DP4,7K011854,2025-11-10,58,7K011854,1,SK-DP4,6.079315,125.1440267,6,0.02
11814,SK-DP4,7K011876,2025-11-10,59,7K011876,1,SK-DP4,6.079135,125.1440283,6,0.184
11814,SK-DP4,7K011488,2025-11-10,60,7K011488,1,SK-DP4,6.07794,125.1451783,6,0.0
11814,SK-DP4,7K014729,2025-11-11,1,7K014729,2,SK-DP4,6.07455333,125.1248917,7,0.038
11814,SK-DP4,7K014730,2025-11-11,2,7K014730,2,SK-DP4,6.07468333,125.12457,7,0.048
11814,SK-DP4,7K014889,2025-11-11,3,7K014889,2,SK-DP4,6.074935,125.1249217,7,0.019
11814,SK-DP4,7K014727,2025-11-11,4,7K014727,2,SK-DP4,6.07508667,125.1249917,7,0.043
