store,latitude,longitude,dayno,sequence,distancetonextstore
7K013887,6.09221833,125.13131,2,51,0.594
7K013612,6.088235,125.127735,2,52,0.05
7K013689,6.08784167,125.1279617,2,53,0.394
7K014121,6.08652833,125.1312717,2,54,0.048
7K014122,6.08610833,125.131385,2,55,0.059
7K014204,6.08587333,125.1318667,2,56,0.038
7K013918,6.08565667,125.1321283,2,57,0.043
7K013868,6.08583,125.1324767,2,58,0.114
7K014123,6.08554333,125.1314833,2,59,0.661
7K012704,6.08939833,125.136035,2,60,0.0
7K016363,6.08937,125.1493567,3,1,0.047
7K016405,6.08909,125.1490367,3,2,0.004
7K016358,6.08908167,125.149005,3,3,0.007
7K016354,6.0891,125.1489433,3,4,0.032
7K016272,6.08884167,125.1490683,3,5,0.021
7K016406,6.08886833,125.1492583,3,6,0.005
7K016359,6.08882167,125.1492683,3,7,0.057
7K016269,6.08848,125.1488783,3,8,0.024
7K016268,6.088535,125.148665,3,9,0.011
7K016267,6.08854667,125.1485667,3,10,0.023
7K016266,6.08850333,125.148365,3,11,0.043
7K016270,6.08822833,125.1486367,3,12,0.03
7K016402,6.08804833,125.148835,3,13,0.138
7K016362,6.08880333,125.1498217,3,14,0.046
7K016259,6.08909167,125.15012,3,15,0.019
7K016260,6.08925667,125.1500617,3,16,0.017
7K016407,6.089265,125.1499117,3,17,0.062
7K016257,6.08893167,125.1503583,3,18,0.025
7K016271,6.08890833,125.1505833,3,19,0.027
7K016409,6.088905,125.15083,3,20,0.011
7K016256,6.08892167,125.1509317,3,21,0.016
7K013557,6.08901833,125.1510383,3,22,0.016
7K013553,6.08889833,125.1511167,3,23,0.013
7K013550,6.08883167,125.1512083,3,24,0.025
7K013548,6.08890667,125.1514217,3,25,0.046
7K013195,6.088855,125.15183,3,26,0.004
7K013194,6.08882833,125.15186,3,27,0.006
7K013178,6.08877167,125.1518583,3,28,0.02
7K013193,6.08887667,125.152005,3,29,0.023
7K013541,6.08902833,125.1521433,3,30,0.033
7K013181,6.08891333,125.15242,3,31,0.013
7K013188,6.088965,125.1525217,3,32,0.022
7K013189,6.08915833,125.15257,3,33,0.011
7K013190,6.08925167,125.1525933,3,34,0.02
7K013191,6.08921167,125.1527717,3,35,0.089
7K013183,6.08848167,125.1531033,3,36,0.016
7K013187,6.08834833,125.1531617,3,37,0.024
7K013540,6.088315,125.1529467,3,38,0.043
7K013186,6.08813833,125.1532967,3,39,0.106
7K013536,6.08823333,125.1523433,3,40,0.011
7K013535,6.08824333,125.152245,3,41,0.011
7K013533,6.088145,125.1522417,3,42,0.038
7K013198,6.08828833,125.1519333,3,43,0.006
7K013199,6.088245,125.151905,3,44,0.004
7K013175,6.08821833,125.1518767,3,45,0.016
7K013197,6.08833833,125.15195,3,46,0.015
7K013176,6.08838833,125.151825,3,47,0.014
7K013177,6.088515,125.15181,3,48,0.013
